Year,Name,AcresBurned,Fire Size Rank,Cause,SOURCE_REPORTING_UNIT_NAME,DaysBurn,Discovery Month,Discovered DOY,Contained Month,Contained DOY,Latitude,Longitude,County,CountyIds,State,OWNER_DESCR,NOAA Station
2017,LaPorte Fire (Wind Complex),6151.0,G,,,242.0,Oct,,Feb,40.0,39.39455,-121.40613,Butte,4,CA,,USW00093205
2017,Rye Fire,6049.0,G,,,321.0,Dec,,Jan,18.0,34.45283,-118.58188,Los Angeles,19,CA,,USW00023130
2017,Mud Fire,6042.0,G,,,232.0,Aug,,Jan,9.0,40.43962,-120.22215,Lassen,18,CA,,USW00023185
2017,Wall Fire,6033.0,G,,,179.0,Jul,,Jan,9.0,39.45352,-121.41222,Butte,4,CA,,USW00093205
2017,Jayne Fire,5738.0,G,,,101.0,Apr,,Jan,9.0,36.07228,-120.26561,Fresno,10,CA,,USW00023110
2017,Summit Complex,5247.0,G,,,203.0,Jul,,Jan,9.0,38.329,-119.782,Stanislaus,50,CA,,USW00093230
2017,Ruth Complex,4736.0,F,,,210.0,Aug,,Jan,9.0,40.17598,-123.36882,Trinity,53,CA,,USW00024216
2017,Minerva Fire,4310.0,F,,,201.0,Jul,,Jan,9.0,39.9034,-120.9761,Plumas,32,CA,,USW00023225
2017,Lilac Fire,4100.0,F,,,332.0,Dec,,Jan,9.0,33.3237,-117.163,San Diego,37,CA,,USW00003154
2017,Ponderosa Fire,4016.0,F,,,1.0,Aug,,Aug,242.0,39.57701,-121.30209,Butte,4,CA,,USW00093205
2017,Palmer Fire,3874.0,F,,,236.0,Sep,,Jan,9.0,33.97471,-117.09984,Riverside,33,CA,,USW00003171
2017,Young Fire,3142.0,F,,,210.0,Aug,,Jan,9.0,41.853,-123.676,Siskiyou,47,CA,,USW00024283
2017,Hawk Fire,2940.0,F,,,179.0,Jul,,Jan,9.0,35.77896,-118.89627,Kern,15,CA,,USW00023155
2017,Canyon Fire,2662.0,F,,,181.0,Sep,,Mar,87.0,33.8668,-117.68598,Orange,30,CA,,USW00003179
2017,Eureka Fire,2575.0,F,,,239.0,Sep,,Jan,9.0,39.75312,-120.75485,Plumas,32,CA,,USW00023225
