,AcresBurned,AWND,CLDD,DP10,DX90,PRCP,TAVG,TMAX,TMIN,PRCP_6M,PRCP_RS,DX90_2M,DP10_2M,Receives Snow,Mar_SP,Mar_WC,Mar_Dens,Elevation,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
108,1500.0,8.9,170.0,0.0,15.0,0.0,70.1,89.6,50.6,9.38,9.64,6.0,1.0,0,0.0,0.0,0.0,1095.7872,0,0,0,0,0,0,1,0,0,0,0,0
109,11.0,6.0,493.0,0.0,30.0,0.0,80.9,98.4,63.4,13.58,17.08,21.0,0.0,0,0.0,0.0,0.0,1030.1712,0,0,0,0,0,1,0,0,0,0,0,0
110,172.0,4.7,31.0,0.0,0.0,0.0,65.5,74.1,57.0,5.51,8.309999999999999,1.0,0.0,0,0.0,0.0,0.0,1722.42,0,0,0,0,0,0,0,0,0,0,0,1
111,86.0,8.3,284.0,0.0,20.0,0.0,74.2,95.2,53.2,6.789999999999999,8.09,9.0,0.0,0,0.0,0.0,0.0,1154.8416,0,0,0,0,0,0,1,0,0,0,0,0
112,50.0,5.4,210.0,0.0,6.0,0.06,71.7,82.5,60.8,2.9600000000000004,18.14,3.0,0.0,0,0.0,0.0,0.0,1791.3168,0,0,0,0,0,0,0,0,0,0,0,1
113,441.0,5.8,549.0,0.0,27.0,0.0,82.7,98.4,67.0,30.630000000000003,37.07,30.0,8.0,1,50.5,29.5,0.58,1092.5064,0,0,0,0,0,1,0,0,0,0,0,0
114,43.0,8.3,150.0,0.0,14.0,0.0,69.8,87.9,51.7,12.529999999999998,14.12,4.0,3.0,0,0.0,0.0,0.0,439.6272,0,0,0,0,0,0,1,0,0,0,0,0
115,40.0,6.3,28.0,0.0,1.0,0.0,61.8,75.0,48.6,2.47,19.01,6.0,1.0,0,0.0,0.0,0.0,728.3376000000001,0,0,0,0,0,0,0,0,0,0,1,0
116,40.0,5.8,247.0,0.0,15.0,0.0,72.9,87.4,58.4,0.7100000000000002,15.07,38.0,0.0,0,0.0,0.0,0.0,1377.936,0,0,0,0,0,0,0,0,0,0,1,0
117,205.0,5.8,513.0,0.0,29.0,0.01,81.6,96.7,66.4,7.959999999999999,13.2,27.0,0.0,0,0.0,0.0,0.0,1263.1080000000002,0,0,0,0,0,1,0,0,0,0,0,0
118,87.0,2.0,35.0,1.0,7.0,0.21,61.1,80.7,41.6,3.82,52.06,39.0,0.0,0,0.0,0.0,0.0,1463.2368,0,0,0,0,0,0,0,0,0,0,1,0
119,80.0,5.1,479.0,0.0,31.0,0.0,80.5,97.1,63.8,7.299999999999999,12.66,32.0,0.0,0,0.0,0.0,0.0,1023.6096,0,1,0,0,0,0,0,0,0,0,0,0
120,0.0,5.8,276.0,0.0,14.0,0.02,73.9,89.2,58.5,2.69,15.81,57.0,0.0,1,169.0,85.0,0.5,6056.3568000000005,0,0,0,0,0,0,0,0,0,0,0,1
121,200.0,7.6,308.0,0.0,21.0,0.0,74.8,93.3,56.3,4.85,15.69,43.0,1.0,0,0.0,0.0,0.0,2975.6856,0,1,0,0,0,0,0,0,0,0,0,0
122,19.0,4.0,0.0,0.0,0.0,0.05,59.1,64.1,54.2,26.51,60.84,0.0,2.0,0,0.0,0.0,0.0,3910.7136,0,1,0,0,0,0,0,0,0,0,0,0
123,31.0,5.1,674.0,0.0,30.0,0.0,86.7,103.2,70.3,14.049999999999995,19.03,30.0,1.0,1,33.0,13.0,0.39,551.1744,0,0,0,0,0,1,0,0,0,0,0,0
124,20.0,5.4,27.0,0.0,0.0,0.0,65.2,70.5,59.8,5.86,5.840000000000001,0.0,0.0,0,0.0,0.0,0.0,1131.876,0,0,0,0,0,0,1,0,0,0,0,0
